,Military,Housing and Community,Transportation,Education,Government,Energy and Environment,Health and Medicare,International Affairs,Veterans Benefits,"Soc. Security, Unemployment & Labor",Science,Agriculture,Total,Military_prev,Housing and Community_prev,Transportation_prev,Education_prev,Government_prev,Energy and Environment_prev,Health and Medicare_prev,International Affairs_prev,Veterans Benefits_prev,"Soc. Security, Unemployment & Labor_prev",Science_prev,Agriculture_prev,Total_prev,year,start_frame,stop_frame
1962,400.5,17.3,10.9,5.2,12.899999999999999,22.5,7.5,41.9,7.4,4.8,13.1,2.9,546.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1962.0,0.0,60.0
1963,392.4,17.0,10.6,5.8,13.100000000000001,22.799999999999997,8.5,37.6,7.6,4.9,21.9,3.4,545.5999999999999,400.5,17.3,10.9,5.2,12.899999999999999,22.5,7.5,41.9,7.4,4.8,13.1,2.9,546.9,1963.0,60.0,120.0
1964,396.5,18.400000000000002,10.3,6.0,14.7,23.0,10.1,31.5,7.9,5.800000000000001,33.5,3.5,561.1999999999999,392.4,17.0,10.6,5.8,13.100000000000001,22.799999999999997,8.5,37.6,7.6,4.9,21.9,3.4,545.5999999999999,1964.0,120.0,180.0
1965,368.1,21.699999999999996,10.8,7.3,14.0,24.200000000000003,9.2,30.9,8.0,8.0,38.2,3.6,544.0000000000001,396.5,18.400000000000002,10.3,6.0,14.7,23.0,10.1,31.5,7.9,5.800000000000001,33.5,3.5,561.1999999999999,1965.0,180.0,240.0
1966,406.6,22.900000000000002,10.7,16.0,14.6,24.9,10.8,32.3,8.1,15.2,42.9,4.0,609.0,368.1,21.699999999999996,10.8,7.3,14.0,24.200000000000003,9.2,30.9,8.0,8.0,38.2,3.6,544.0000000000001,1966.0,240.0,300.0
1967,480.6,25.3,11.8,23.8,15.8,26.2,14.200000000000001,33.7,8.4,19.4,39.2,4.4,702.8,406.6,22.900000000000002,10.7,16.0,14.6,24.9,10.8,32.3,8.1,15.2,42.9,4.0,609.0,1967.0,300.0,360.0
1968,523.9,26.3,12.6,26.6,15.8,27.5,16.7,30.0,8.6,23.6,34.0,4.9,750.5,480.6,25.3,11.8,23.8,15.8,26.2,14.200000000000001,33.7,8.4,19.4,39.2,4.4,702.8,1968.0,360.0,420.0
1969,499.2,20.4,13.7,24.0,15.100000000000001,25.6,17.4,23.4,8.8,22.9,28.7,4.6,703.8000000000001,523.9,26.3,12.6,26.6,15.8,27.5,16.7,30.0,8.6,23.6,34.0,4.9,750.5,1969.0,420.0,480.0
1970,470.2,31.0,14.2,26.7,17.1,24.6,18.4,21.4,9.6,23.0,24.3,4.7,685.2,499.2,20.4,13.7,24.0,15.100000000000001,25.6,17.4,23.4,8.8,22.9,28.7,4.6,703.8000000000001,1970.0,480.0,540.0
1971,426.4,36.0,19.7,27.9,18.3,26.299999999999997,18.6,18.6,10.3,24.9,20.6,4.6,652.1999999999999,470.2,31.0,14.2,26.7,17.1,24.6,18.4,21.4,9.6,23.0,24.3,4.7,685.2,1971.0,540.0,600.0
1972,390.6,34.7,21.2,29.1,21.4,28.0,20.5,21.2,11.6,29.8,19.3,4.5,631.9,426.4,36.0,19.7,27.9,18.3,26.299999999999997,18.6,18.6,10.3,24.9,20.6,4.6,652.1999999999999,1972.0,600.0,660.0
1973,354.3,38.5,19.5,28.6,24.1,30.0,21.799999999999997,21.1,12.5,31.8,17.6,4.4,604.2,390.6,34.7,21.2,29.1,21.4,28.0,20.5,21.2,11.6,29.8,19.3,4.5,631.9,1973.0,660.0,720.0
1974,347.2,39.1,19.3,26.4,26.5,32.0,22.3,25.6,12.7,27.700000000000003,16.4,4.2,599.4000000000001,354.3,38.5,19.5,28.6,24.1,30.0,21.799999999999997,21.1,12.5,31.8,17.6,4.4,604.2,1974.0,720.0,780.0
1975,345.9,40.9,23.9,30.8,26.5,40.300000000000004,24.5,31.5,14.2,32.1,15.4,4.3,630.3,347.2,39.1,19.3,26.4,26.5,32.0,22.3,25.6,12.7,27.700000000000003,16.4,4.2,599.4000000000001,1975.0,780.0,840.0
1976,333.4,46.0,53.4,29.7,25.700000000000003,43.599999999999994,26.4,26.5,14.7,39.9,15.5,4.0,658.8000000000001,345.9,40.9,23.9,30.8,26.5,40.300000000000004,24.5,31.5,14.2,32.1,15.4,4.3,630.3,1976.0,840.0,900.0
1977,335.6,53.0,52.6,31.2,34.2,53.3,25.1,26.5,15.8,41.4,15.6,4.2,688.5,333.4,46.0,53.4,29.7,25.700000000000003,43.599999999999994,26.4,26.5,14.7,39.9,15.5,4.0,658.8000000000001,1977.0,900.0,960.0
1978,337.4,69.4,53.0,31.8,28.6,57.3,25.2,26.8,16.5,55.0,15.4,4.3,720.6999999999999,335.6,53.0,52.6,31.2,34.2,53.3,25.1,26.5,15.8,41.4,15.6,4.2,688.5,1978.0,960.0,1020.0
1979,348.1,62.9,55.9,34.7,26.7,60.599999999999994,24.0,26.6,16.2,53.4,15.2,4.7,729.0000000000001,337.4,69.4,53.0,31.8,28.6,57.3,25.2,26.8,16.5,55.0,15.4,4.3,720.6999999999999,1979.0,1020.0,1080.0
1980,363.0,69.30000000000001,62.6,35.6,27.200000000000003,61.6,24.799999999999997,34.7,16.9,46.300000000000004,15.8,4.4,762.1999999999998,348.1,62.9,55.9,34.7,26.7,60.599999999999994,24.0,26.6,16.2,53.4,15.2,4.7,729.0000000000001,1980.0,1080.0,1140.0
1981,382.2,64.9,56.9,33.1,25.5,65.8,24.6,33.8,16.3,39.5,16.0,4.3,762.8999999999999,363.0,69.30000000000001,62.6,35.6,27.200000000000003,61.6,24.799999999999997,34.7,16.9,46.300000000000004,15.8,4.4,762.1999999999998,1981.0,1140.0,1200.0
1982,414.0,57.0,48.9,27.5,24.9,56.9,23.2,30.4,16.6,26.2,17.0,4.1,746.7,382.2,64.9,56.9,33.1,25.5,65.8,24.6,33.8,16.3,39.5,16.0,4.3,762.8999999999999,1982.0,1200.0,1260.0
